FT-002,DFT-001,PT-002,FT-001,PT-003,LT-001,TT-002,Current_3,Current_4,TT-001,PT-004
62.953254,4.667306,4.601765,0.92777,-0.328264,27.636555,31.401456,50.498244,75.717157,42.448473,-1.668411
47.377418,3.107784,3.648706,-5.337928,-0.682918,28.525569,34.040954,50.377291,75.585939,41.697963,-2.490734
49.77654,4.382452,3.527781,3.172842,0.182193,27.63041,31.235463,50.412142,75.52648,43.110809,-3.688332
50.073867,3.73897,-3.936817,1.020033,0.532747,28.142515,31.475231,50.498244,76.711546,43.668566,-3.956971
52.419675,4.116043,4.513632,0.503359,-3.870707,28.058529,31.313336,50.328089,75.74176,43.178478,-1.980114
48.285804,1.398663,1.54378,2.504446,0.032541,27.659088,33.944637,50.490044,76.203075,43.028786,-3.632963
51.423116,3.263531,0.457499,4.587544,1.363007,27.081434,31.665816,50.34039,76.188723,43.816207,-3.934413
52.616526,2.786043,3.6815,4.726964,1.416308,28.652571,32.551113,50.309639,74.158938,43.641908,-2.65889
52.075185,2.513485,2.252937,2.738179,-5.715729,28.257226,32.083873,50.377291,74.550543,45.185991,-2.74912
49.440253,2.788092,1.625763,1.979571,5.815661,27.921285,32.231422,50.664299,75.23944,41.093043,-3.80522
45.26127,4.177522,2.006987,0.0933,-1.67513,27.691862,32.165845,50.371141,80.09247,42.39926,-3.155155
60.617698,3.515596,2.78788,1.90781,-2.698092,28.050336,31.21292,50.428542,72.881609,44.410874,-3.969275
46.481336,6.228877,2.134061,2.95551,-1.574679,27.997077,30.649363,50.315789,74.716617,44.230423,-2.50919
50.445013,2.550373,1.267086,2.080035,-1.455777,27.716443,31.483428,50.285038,76.764854,41.898919,-3.62271
57.894593,4.070958,-1.817544,1.270169,-2.226587,27.661136,32.756043,50.531045,77.958121,41.191471,-3.930312
55.64516,5.06897,6.132806,2.408082,-2.441839,28.300243,31.692457,50.34449,75.52238,43.438901,-0.520029
44.057608,0.642469,1.631912,2.328121,-1.308176,28.179386,31.378914,50.399841,76.071857,44.439582,-4.890031
57.69159,4.718539,0.54973,7.412849,-1.133923,28.087207,29.774312,50.379341,75.860677,44.54006,-0.52413
54.462004,-1.45807,1.658557,0.911368,-1.906783,28.963931,33.575763,50.455193,75.73971,43.643959,-0.228832
52.663688,-0.089134,8.725535,1.872955,-2.49309,27.446052,33.083931,50.35064,75.438318,44.265283,-0.444154
52.310996,0.861744,-0.477113,2.170248,5.092003,28.611602,31.967063,50.241987,76.104661,43.877724,-2.318477
54.361528,3.765611,3.13426,-0.488983,-1.791981,28.117934,27.661483,50.412142,77.088799,42.948814,-1.45719
53.633589,2.64669,3.790128,4.403018,-2.53614,28.361695,31.919929,50.319889,72.645826,42.138837,-1.75659
51.624068,3.138524,2.166855,0.907267,-1.092923,27.898753,31.489576,50.428542,75.153328,43.071848,-1.72788
53.321908,2.933593,2.593169,1.034385,6.213366,28.117934,31.440393,50.461343,76.693094,42.103977,-2.634282
55.630806,2.427414,2.693599,1.399337,-3.128598,28.455923,31.702703,50.34449,76.186673,42.647379,-1.781198
56.645819,2.831128,2.371813,2.928857,-0.486115,27.808622,31.965013,50.565896,70.025559,43.059545,-1.66636
45.511435,3.111883,2.728442,1.891408,0.850501,27.693911,32.415859,50.36704,82.739392,44.234524,-2.92958
59.186428,2.990973,3.03588,2.967812,-1.113423,27.800429,31.467034,50.510544,77.546013,44.107389,-0.255491
55.052557,-1.423232,2.283681,2.520848,0.709049,28.130224,30.844046,50.35064,73.191203,45.132676,-0.483117
45.130036,0.062515,6.51198,1.331678,1.264606,28.074917,31.643273,50.418292,73.95391,45.57355,-1.229565
56.506383,2.909001,0.084474,1.448545,0.504047,27.947915,32.018295,50.559746,76.635686,42.690441,-6.678225
56.358745,8.136781,4.038128,1.614618,-0.475865,28.353502,29.182064,50.369091,74.890891,43.779297,0.938005
47.844939,-0.621953,3.734789,4.292302,-0.430765,28.38218,31.249808,50.477743,74.571046,43.600897,-2.615825
49.0445,3.808647,1.44335,0.630477,0.202693,26.804897,30.708793,50.303489,75.88528,43.078,-3.948768
52.727254,4.552545,-1.182171,0.870362,4.651247,29.115513,32.713008,50.549495,77.566516,42.36645,-3.475061
50.992505,3.978739,4.136508,0.882663,-2.976896,27.79838,32.260113,50.326039,75.944739,43.416345,-2.394352
48.640545,2.685627,3.443748,6.213427,-0.734169,27.192048,34.073743,50.440842,74.804779,44.269384,-3.835981
52.064933,3.048354,2.121764,-1.993899,2.43312,27.532086,31.372766,50.684799,79.992006,43.619352,-3.468909
52.665738,3.173362,4.515682,4.90944,0.137092,28.181435,31.200625,50.272738,76.034951,42.618671,-2.691701
50.518832,3.132376,3.148607,5.139073,-7.314749,27.775848,31.782626,50.381391,73.025129,45.444363,-2.687599
45.923592,3.345503,3.054326,2.930907,0.868951,27.51365,30.348116,50.313739,75.444469,45.106019,-3.011607
53.615134,2.583162,1.627813,0.747344,-1.265125,27.831155,30.958807,50.403941,84.420627,43.332271,-3.934413
56.785256,2.956135,2.09102,1.678177,-3.062997,28.052384,31.592041,50.317839,72.857006,42.743756,-1.139335
47.449187,0.083008,2.277532,2.422434,-0.738269,27.99298,32.303148,50.596647,74.919595,43.194883,-3.300753
